ACRS Report Type,Date and Time,Route Type,Road Name,Municipality,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver At Fault,Injury Severity,Driver Distracted By,Vehicle Body Type,Vehicle Movement,Vehicle Continuing Dir,Vehicle Going Dir,Speed Limit,Vehicle Year,Vehicle Make,Wind Speed (MPH),TMP10-DK ,Relative Humidity (%),Rain (Inches)
Property Damage Crash,07-11-2022 12:32,Maryland (State),GEORGIA AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,SLOWING OR STOPPING,North,North,35,2006,CHEVROLET,7.3,78.8,48.3,0
Injury Crash,07-11-2022 12:32,Maryland (State),16TH ST,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING LEFT TURN,East,South,35,2017,HYUNDAI,0.8,45.4,42.3,0
Injury Crash,07-11-2022 12:40,Ramp,RAMP 6 FR IS 495 EB TO MD 193 SB,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,YIELD SIGN,No,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,East,East,25,2018,MNI,5.4,42.8,24.3,0
Injury Crash,07-11-2022 12:40,County,TUCKERMAN LA,N/A,HEAD ON,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,SUSPECTED SERIOUS INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,West,35,2012,INFI,6.9,44.2,29,0
Property Damage Crash,07-11-2022 12:44,Maryland (State),ROCKVILLE PIKE,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,East,South,35,2008,MERZ,2.4,44,25.7,0
Property Damage Crash,07-11-2022 12:44,,,,SAME DIR REAR END,CLEAR,,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,Unknown,Unknown,15,2001,CHEVROLET,6.9,74.4,39.7,0
Property Damage Crash,07-11-2022 14:23,Maryland (State),GEORGIA AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,2013,HONDA,2.4,71.6,63.3,0
Property Damage Crash,07-11-2022 14:23,Maryland (State),GEORGIA AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,2020,FORD,1.2,59.8,57.3,0
Property Damage Crash,07-11-2022 14:30,Maryland (State),NORBECK RD,N/A,SAME DIR REAR END,RAINING,WET,DAYLIGHT,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,POLICE VEHICLE/NON EMERGENCY,STOPPED IN TRAFFIC LANE,East,East,40,2009,CHEV,5.6,81.9,58.3,0
Property Damage Crash,07-11-2022 14:30,,,,SAME DIR REAR END,CLEAR,,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,BACKING,Unknown,Unknown,0,2010,TOYOTA,7.1,75.7,47.3,0
Injury Crash,07-11-2022 14:30,Municipality,GAITHER RD,ROCKVILLE,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,No,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING LEFT TURN,South,West,30,2011,VOLKWAGGON,1.3,58.3,53.5,0
Fatal Crash,07-11-2022 14:52,Maryland (State),DARNESTOWN RD,N/A,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,Unknown,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,UNKNOWN,East,East,40,2015,ACURA,2.2,52.7,47.1,0
Property Damage Crash,07-11-2022 14:52,,,,SAME DIR REAR END,CLOUDY,,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,PARKING,Unknown,Unknown,0,2015,HYUNDAI,2.7,52.5,35.8,0
Property Damage Crash,07-11-2022 14:52,Maryland (State),NEW HAMPSHIRE AVE,N/A,SAME DIRECTION LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,2013,BMW,2.7,73.8,49.1,0
Injury Crash,07-11-2022 14:52,County,ROCK SPRING DR,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,ACCELERATING,North,North,30,2012,NISS,3.7,49.2,36.3,0
Property Damage Crash,07-11-2022 14:52,Maryland (State),MUNCASTER MILL RD,N/A,SAME DIR REAR END,CLEAR,ICE,DAYLIGHT,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,East,East,35,2006,JEEP,7.7,59.9,44.7,0
Property Damage Crash,07-11-2022 15:48,,,,HEAD ON LEFT TURN,RAINING,,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,PARKING,Unknown,Unknown,0,2005,CHEVY,1.1,41.6,32.2,0
Property Damage Crash,07-11-2022 15:48,,,,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,POLICE VEHICLE/EMERGENCY,BACKING,West,West,15,2016,FORD,9.4,65.5,47.1,0
Injury Crash,07-11-2022 16:06,Maryland (State),CONNECTICUT AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,South,45,2011,TOYOTA,3.4,65.3,47.3,0
Property Damage Crash,07-11-2022 16:29,County,LOXFORD TERR,N/A,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,OTHER,Unknown,Unknown,25,2002,LEXUS,2,65.8,52.5,0
Property Damage Crash,07-11-2022 16:29,Maryland (State),WOODFIELD RD,N/A,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,UNKNOWN,(SPORT) UTILITY VEHICLE,STARTING FROM LANE,East,East,35,2021,JEEP,1.7,66.3,60.1,0
Property Damage Crash,07-11-2022 16:39,Maryland (State),GEORGIA AVE,N/A,OTHER,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,OTHER DISTRACTION,PASSENGER CAR,BACKING,South,North,30,2013,TOYOTA,4.9,58,57.8,0.09
Property Damage Crash,07-11-2022 16:39,County,MUDDY BRANCH RD,N/A,HEAD ON LEFT TURN,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PICKUP TRUCK,ACCELERATING,West,North,40,2003,CADILLAC,4.2,79.2,48.6,0
Property Damage Crash,07-11-2022 17:12,County,MIDDLEBROOK RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,North,40,2013,FORD,5.9,61.5,52.2,0
Property Damage Crash,07-11-2022 17:18,Maryland (State),QUINCE ORCHARD RD,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,POLICE VEHICLE/EMERGENCY,CHANGING LANES,North,North,35,2010,CHEVROLET,1.1,46.4,42.1,0
Property Damage Crash,07-11-2022 17:18,,WHEATON PLAZA RING RD CUT,N/A,ANGLE MEETS LEFT TURN,CLEAR,DRY,DAYLIGHT,STOP SIGN,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,30,2002,VOLKSWAGON,7.7,54.3,31.9,0
Property Damage Crash,07-11-2022 17:20,,,,OTHER,N/A,,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PICKUP TRUCK,STARTING FROM PARKED,East,East,15,2010,FORD,1.7,40.1,31.7,0
Injury Crash,07-11-2022 17:20,Maryland (State),NEW HAMPSHIRE AVE,N/A,SAME DIR REAR END,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,40,2000,GMC,7.2,68.5,56.4,0
Property Damage Crash,07-11-2022 17:45,Municipality,BROOKS AVE,N/A,SAME DIR REAR END,SNOW,SNOW,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,OTHER DISTRACTION,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,East,35,2004,NISSAN,3.1,72.8,57,0
Property Damage Crash,07-11-2022 17:52,County,OBSERVATION DR,N/A,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING RIGHT TURN,South,East,30,2014,BMW,4.4,71.1,54.3,0
Property Damage Crash,07-11-2022 17:52,County,NICHOLSON LA,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,UNKNOWN,(SPORT) UTILITY VEHICLE,CHANGING LANES,West,West,35,2013,FORD,4.4,72.5,58.6,0
Injury Crash,07-11-2022 18:27,Maryland (State),S FREDERICK RD,N/A,SAME DIR REAR END,CLEAR,N/A,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,North,North,35,1998,BUICKE,3.1,56.3,50.2,0
Property Damage Crash,07-11-2022 18:27,,,,OTHER,N/A,,DARK -- UNKNOWN LIGHTING,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,BACKING,South,South,0,2006,HONDA,5.8,69.3,28.5,0
Property Damage Crash,07-11-2022 18:58,Maryland (State),ROCKVILLE PIKE,N/A,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,2011,TOYOTA,3.2,73.5,43.5,0
Property Damage Crash,07-11-2022 19:03,Municipality,FALLBROOK ST,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,N/A,Yes,NO APPARENT INJURY,UNKNOWN,,ACCELERATING,Unknown,Unknown,25,0,UNKNOWN,9,57.2,56.3,0
Property Damage Crash,07-11-2022 19:03,Maryland (State),GEORGIA AVE,N/A,SAME DIR REAR END,N/A,DRY,DARK LIGHTS ON,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,South,South,30,2007,HONDA,9.6,66.2,44.3,0
Property Damage Crash,07-11-2022 19:06,County,BRINK RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,OTHER ELECTRONIC DEVICE (NAVIGATIONAL PALM PILOT),PASSENGER CAR,ACCELERATING,South,South,35,1996,HONDA,8,53.9,43.5,0
Property Damage Crash,07-11-2022 19:06,County,MOUNTAIN LAUREL LA,N/A,SAME DIR REAR END,CLEAR,WET,DARK -- UNKNOWN LIGHTING,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,30,2007,TOYOTA,2.9,80.7,47,0
Property Damage Crash,07-11-2022 20:13,Maryland (State),GEORGIA AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,North,North,35,2001,MERZ,6.4,54.8,41.8,0
Injury Crash,07-11-2022 20:13,Municipality,W DEER PARK RD,GAITHERSBURG,OTHER,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,25,2000,NISS,2.8,54.8,51.9,0
Property Damage Crash,07-11-2022 20:40,Maryland (State),NEW HAMPSHIRE AVE,N/A,SAME DIRECTION LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,ACCELERATING,West,West,25,2005,FORD,1.2,47.9,45.6,0
Property Damage Crash,07-11-2022 22:00,County,SOUTHLAWN LA,N/A,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,East,25,2014,AUDI,2.2,64.7,57.1,0
Injury Crash,07-11-2022 22:00,County,MONTROSE RD,N/A,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,YIELD SIGN,Yes,SUSPECTED MINOR INJURY,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,West,South,35,2006,TOYOTA,0.8,65,49.9,0
Property Damage Crash,07-11-2022 22:04,Maryland (State),DARNESTOWN RD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,40,2013,NISS,4.1,64.2,62.1,0.01
Property Damage Crash,07-11-2022 22:04,Maryland (State),FREDERICK RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,North,40,2011,SUBA,5.1,77.3,46.5,0
Injury Crash,08-11-2022 04:20,Maryland (State),UNIVERSITY BLVD E,N/A,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,Yes,POSSIBLE INJURY,UNKNOWN,PASSENGER CAR,ACCELERATING,East,East,40,2012,HONDA,4.7,57.4,43.7,0
Injury Crash,08-11-2022 07:16,Maryland (State),GEORGIA AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,North,North,40,2004,HONDA,3.2,66.2,50.1,0
Injury Crash,08-11-2022 07:16,County,WIGHTMAN RD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING LEFT TURN,North,East,35,2012,FORD,5.9,81.6,58.3,0
Property Damage Crash,08-11-2022 08:18,Maryland (State),GEORGIA AVE,N/A,SAME DIRECTION RIGHT TURN,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,CHANGING LANES,East,North,30,2012,MITS,5.3,71.3,43.8,0
Injury Crash,08-11-2022 08:29,County,CHERRY HILL RD,N/A,STRAIGHT MOVEMENT ANGLE,N/A,WET,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,No,POSSIBLE INJURY,NOT DISTRACTED,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",MOVING CONSTANT SPEED,North,West,35,2012,CHEVY,4,56.7,56.2,0.03
Property Damage Crash,08-11-2022 08:30,,,,OTHER,CLEAR,,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,(SPORT) UTILITY VEHICLE,BACKING,North,North,0,2015,JEEP,7.5,70,68.4,0.05
Injury Crash,08-11-2022 09:32,US (State),COLUMBIA PIKE,N/A,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,POSSIBLE INJURY,NOT DISTRACTED,AMBULANCE/EMERGENCY,SLOWING OR STOPPING,North,North,50,2005,CHEV,2.8,40.2,29.1,0
Property Damage Crash,08-11-2022 09:32,Maryland (State),RIVER RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,INATTENTIVE OR LOST IN THOUGHT,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,35,2005,FORD,1.5,56.1,54.3,0
Property Damage Crash,08-11-2022 10:43,Maryland (State),EAST WEST HWY,CHEVY CHASE #4,SAME DIR REAR END,RAINING,WET,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,West,West,35,2005,HONDA,4.3,71.3,40.6,0
Injury Crash,08-11-2022 11:38,Maryland (State),GEORGIA AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,No,POSSIBLE INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,North,North,45,2009,TOYOTA,2.5,62.9,46.3,0
Property Damage Crash,08-11-2022 11:38,County,SEVEN LOCKS RD,N/A,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,North,35,2019,DODGE,1.3,62,50.3,0
Property Damage Crash,08-11-2022 12:45,,,,OTHER,RAINING,,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,PARKING,Unknown,Unknown,15,2000,HONDA,1.7,59.7,54.4,0.03
Property Damage Crash,08-11-2022 12:45,Maryland (State),GREAT SENECA HWY,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,STATION WAGON,MAKING RIGHT TURN,North,West,45,2005,DODGE,1.3,64.4,36.6,0
Property Damage Crash,08-11-2022 12:46,County,CONNECTICUT AVE SERVICE RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,BY OTHER OCCUPANTS,PASSENGER CAR,CHANGING LANES,South,South,40,2004,TOYT,1.8,66.7,54.4,0
Property Damage Crash,08-11-2022 12:46,Maryland (State),WISCONSIN AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,North,North,25,2018,INFI,9.3,59.3,42.5,0
Property Damage Crash,08-11-2022 14:47,US (State),COLESVILLE RD,N/A,SAME DIR REAR END,CLEAR,N/A,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,2009,MAZDA,3.1,55.8,27.3,0
Property Damage Crash,08-11-2022 14:47,Maryland (State),MONTGOMERY VILLAGE AVE,GAITHERSBURG,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,East,East,35,2017,FORD,4.4,49.3,31.1,0
Property Damage Crash,08-11-2022 15:19,Maryland (State),NORBECK RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,East,East,40,2012,SUBARU,1.4,49.6,47.6,0
Property Damage Crash,08-11-2022 15:25,County,MONTROSE RD,N/A,SAME DIRECTION LEFT TURN,CLEAR,DRY,DAYLIGHT,YIELD SIGN,Yes,NO APPARENT INJURY,INATTENTIVE OR LOST IN THOUGHT,PASSENGER CAR,ENTERING TRAFFIC LANE,East,East,40,2009,UNKNOWN,5.2,50,49.8,0.06
Injury Crash,08-11-2022 15:25,US (State),COLESVILLE RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,POSSIBLE INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,South,South,40,2020,TOYOTA,14.4,61.7,48.7,0
Property Damage Crash,08-11-2022 15:40,County,IVY OAK DR,N/A,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING LEFT TURN,West,West,35,2013,CHEV,5.9,76.1,51.3,0
Property Damage Crash,08-11-2022 15:40,County,CLAGETT FARM DR,N/A,OTHER,CLEAR,DRY,DAYLIGHT,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,BACKING,East,East,25,2012,JEEP,1.4,33.8,28.5,0
Injury Crash,08-11-2022 17:17,County,TAHONA DR,N/A,STRAIGHT MOVEMENT ANGLE,N/A,WET,DAYLIGHT,STOP SIGN,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,STARTING FROM LANE,North,North,25,2004,LEXUS,4.5,64.4,64.5,0
Property Damage Crash,08-11-2022 17:17,County,WESTLAKE DR,N/A,ANGLE MEETS RIGHT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING RIGHT TURN,North,West,30,2014,INFI,0.8,48.6,46.2,0
Property Damage Crash,08-11-2022 17:19,,,,SAME DIRECTION SIDESWIPE,CLEAR,,UNKNOWN,N/A,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,PARKING,North,East,5,2008,TOYOTA,1.4,64.9,55.1,0
Property Damage Crash,08-11-2022 17:19,US (State),COLUMBIA PIKE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,South,45,2016,FORD,1,54,49.8,0
Property Damage Crash,08-11-2022 17:43,Maryland (State),WISCONSIN AVE,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,25,2017,TOYOTA,7.9,41,23.5,0
Property Damage Crash,08-11-2022 17:43,Maryland (State),GEORGIA AVE,N/A,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,NOT DISTRACTED,PICKUP TRUCK,MOVING CONSTANT SPEED,South,South,35,2017,CHEVY,4.3,70.9,61.4,0
Property Damage Crash,08-11-2022 17:51,County,WARFIELD RD,N/A,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,YIELD SIGN,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,40,2008,VOLKSWAGON,0.9,52.4,48.6,0
Injury Crash,08-11-2022 17:51,Maryland (State),MONTGOMERY VILLAGE AVE,GAITHERSBURG,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,2004,HONDA,5.6,66.4,60.3,0
Property Damage Crash,08-11-2022 18:10,County,DARNESTOWN RD,N/A,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,30,2002,BMW,4.8,69.9,41.3,0
Property Damage Crash,08-11-2022 18:10,Maryland (State),OLD COLUMBIA PIKE,N/A,STRAIGHT MOVEMENT ANGLE,N/A,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,INATTENTIVE OR LOST IN THOUGHT,PASSENGER CAR,MAKING LEFT TURN,South,South,35,2013,ACURA,13.1,63.9,52.1,0
Injury Crash,08-11-2022 18:13,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,OTHER,No,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,10,2019,HONDA,5.3,64.1,51.6,0
Injury Crash,08-11-2022 18:13,County,WARFIELD RD,N/A,SAME DIR REAR END,RAINING,WET,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,West,North,30,2008,GMC,5.3,84.8,46.5,0
Property Damage Crash,08-11-2022 18:28,County,BEL PRE RD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,35,2001,MERZ,5,74,67.1,0
Injury Crash,08-11-2022 18:28,Maryland (State),UNIVERSITY BLVD E,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,35,2001,TOYOTA,7.3,77.6,64.3,0
Property Damage Crash,08-11-2022 18:31,Maryland (State),LAYHILL RD,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,North,North,40,2016,KIA,7.5,71.5,64.1,0
Property Damage Crash,08-11-2022 18:31,County,BEL PRE RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,YIELD SIGN,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,SLOWING OR STOPPING,East,East,35,2015,NISSAN,5.2,63.2,61.8,0
Injury Crash,08-11-2022 18:43,County,FLOWER AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,South,30,2009,VOLKSWAGON,7,82.6,69.1,0
Injury Crash,08-11-2022 18:43,Maryland (State),WOODFIELD RD,N/A,ANGLE MEETS LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,SUSPECTED MINOR INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,MAKING LEFT TURN,South,West,45,2012,ACUR,3.1,67.3,39.5,0
